execution_id;timestamp;repetition;dataset;experiment;data_structure;runtime;storage;
94;1599727224;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;mallocAL(0);378212;;
95;1599727226;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(0);6777;;
95;1599727226;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(0);373276;;
96;1599727236;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;2-neighbour;vectorAL(1);8154;;
96;1599727236;0;/space/fuchs/shared/graph-two-datasets/yahoo-songs/base.csr;bfs;vectorAL(1);448994;;
97;1599727237;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csr();293;;
97;1599727240;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csr();2589272;;
98;1599727248;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,0);375;;
98;1599727252;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,0);3157678;;
99;1599727335;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(0,1);368;;
99;1599727339;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(0,1);3708952;;
100;1599727344;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(32,0);311;;
100;1599727346;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(32,0);2596995;;
101;1599727349;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(64,0);311;;
101;1599727351;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(64,0);2597036;;
102;1599727353;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(128,0);311;;
102;1599727356;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(128,0);2599333;;
103;1599727358;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(10000000,0);318;;
103;1599727361;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(10000000,0);2628557;;
104;1599727436;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;csrMallocAL(10000000,1);257;;
104;1599727439;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;csrMallocAL(10000000,1);3080393;;
105;1599727520;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;mallocAL(1);623;;
105;1599727523;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;mallocAL(1);3753197;;
106;1599727533;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;mallocAL(0);585;;
106;1599727536;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;mallocAL(0);3153615;;
107;1599727542;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;vectorAL(0);633;;
107;1599727545;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(0);3210626;;
108;1599727624;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;2-neighbour;vectorAL(1);430;;
108;1599727628;0;/space/fuchs/shared/graph-two-datasets/soc-bitcoin/base.csr;bfs;vectorAL(1);3736181;;
109;1599727628;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csr();645;;
109;1599727628;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csr();58599;;
110;1599727628;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,0);724;;
110;1599727629;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,0);73327;;
111;1599727631;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(0,1);781;;
111;1599727631;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(0,1);76075;;
112;1599727631;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;2-neighbour;csrMallocAL(32,0);630;;
112;1599727631;0;/space/fuchs/shared/graph-two-datasets/higgs/base.csr;bfs;csrMallocAL(32,0);66651;;
